callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
QTR909,,06a148,A7-APG,A388,YSSY,OTHH,2018-12-31 11:08:33+00:00,2019-01-01 01:41:16+00:00,2019-01-01 00:00:00+00:00,-33.94958496,151.1768637,0,25.22405075,51.64056166,152.4
ETD455,,896405,A6-APB,A388,YSSY,OMAA,2018-12-31 11:15:54+00:00,2019-01-01 01:18:26+00:00,2019-01-01 00:00:00+00:00,-33.9533844,151.1777605,0,24.40168762,54.69543457,160.02
IBE6024,,3450d7,EC-MJT,A332,LEMD,LEMD,2018-12-31 11:17:17+00:00,2019-01-01 08:51:49+00:00,2019-01-01 00:00:00+00:00,40.54355427,-3.57511347,609.6,40.46874619,-3.559631348,426.72
QTR915,,06a109,A7-ALU,A359,YPAD,OTHH,2018-12-31 11:21:45+00:00,2019-01-01 00:49:44+00:00,2019-01-01 00:00:00+00:00,-34.96669006,138.5048629,304.8,25.23494397,51.6143914,83.82
CPA289,,78023d,B-KPQ,B77W,RPLL,EDDF,2018-12-31 11:21:59+00:00,2019-01-01 05:35:41+00:00,2019-01-01 00:00:00+00:00,14.52044678,121.0406389,0,50.03853491,8.580025338,-30.48
CAL5107,,89911e,B-18710,B744,KSFO,RCTP,2018-12-31 11:23:24+00:00,2019-01-01 00:57:36+00:00,2019-01-01 00:00:00+00:00,37.62770831,-122.3908599,0,25.02507019,121.1553446,327.66
CMB116,,aa292d,N754CX,B752,,OBBI,2018-12-31 11:28:18+00:00,2019-01-01 09:15:42+00:00,2019-01-01 00:00:00+00:00,1.434677124,103.0859737,6400.8,26.25366211,50.66329668,30.48
KAL905,,71ba02,,,,EDDF,2018-12-31 11:28:19+00:00,2019-01-01 15:58:38+00:00,2019-01-01 00:00:00+00:00,23.62088013,120.051473,11277.6,50.04062976,8.58885894,15.24
CPA812,,780a19,B-KPX,B77W,,KBOS,2018-12-31 11:29:41+00:00,2019-01-01 01:34:14+00:00,2019-01-01 00:00:00+00:00,23.47056761,120.0352478,9448.8,42.38031006,-70.99764737,-15.24
UAE5CL,,896472,A6-EUH,A388,YSSY,OMDB,2018-12-31 11:30:06+00:00,2019-01-01 01:29:57+00:00,2019-01-01 00:00:00+00:00,-33.95278931,151.1776484,0,25.25548553,55.35069784,
